T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,S0,S1,S2,S3,S4,S5,S6,num_citations,Class
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL
5,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,Fundamental
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,BackGround
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,BackGround
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,Compare
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,BackGround
5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,BackGround
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,Fundamental
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Fundamental
0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,BackGround
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fundamental
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,BackGround
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Fundamental
3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,2,Fundamental
5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,BackGround
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Fundamental
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Fundamental
2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,BackGround
2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,Fundamental
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Fundamental
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,BackGround
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fundamental
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fundamental
7,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,3,BackGround
0,0,0,2,0,2,0,1,0,1,1,0,0,1,0,1,1,0,1,BackGround
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,BackGround
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,BackGround
2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,BackGround
3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,BackGround
2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,BackGround
3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,Fundamental
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,BackGround
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,Fundamental
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,BackGround
3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,Fundamental
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Fundamental
5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,BackGround
3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,Fundamental
3,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,BackGround
3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,BackGround
1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,BackGround
4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,Compare
3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,BackGround
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Compare
3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,BackGround
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,BackGround
4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,BackGround
1,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,BackGround
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Fundamental
3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,BackGround
2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,BackGround
3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Fundamental
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,BackGround
4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fundamental
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Fundamental
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,BackGround
2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,BackGround
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,BackGround
3,0,0,2,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,Fundamental
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Fundamental
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,BackGround
2,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,BackGround
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,BackGround
3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,Fundamental
2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,BackGround
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,BackGround
1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,Fundamental
2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
1,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,1,BackGround
4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,BackGround
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,BackGround
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,BackGround
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,Fundamental
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fundamental
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,Fundamental
1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,BackGround
1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,BackGround
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Fundamental
2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,NULL
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Fundamental
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,BackGround
4,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,BackGround
3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,BackGround
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Fundamental
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,BackGround
3,0,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,1,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fundamental
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,Fundamental
2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,BackGround
2,1,0,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,1,BackGround
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,Fundamental
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,BackGround
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,BackGround
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,Fundamental
2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Fundamental
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,BackGround
1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,BackGround
3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,BackGround
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,BackGround
2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,BackGround
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,BackGround
1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,Compare
2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,BackGround
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Fundamental
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,Fundamental
2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,BackGround
1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,Compare
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Compare
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,BackGround
1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,Fundamental
2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,Fundamental
2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2,BackGround
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,3,BackGround
0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,BackGround
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,BackGround
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,BackGround
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,BackGround
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,BackGround
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fundamental
2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,Fundamental
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,BackGround
3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,BackGround
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Fundamental
4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,Fundamental
1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,BackGround
1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,BackGround
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Fundamental
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Fundamental
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Fundamental
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NULL
3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,Fundamental
3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,Fundamental
3,0,2,0,0,1,0,1,4,0,0,0,0,0,0,1,0,1,2,Fundamental
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Fundamental
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,Fundamental
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fundamental
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,Fundamental
0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,BackGround
1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,BackGround
0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,BackGround
2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,BackGround
4,0,2,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1,Fundamental
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,BackGround
1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,BackGround
3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Fundamental
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,BackGround
5,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,BackGround
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,BackGround
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Fundamental
3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,BackGround
0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,BackGround
3,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,BackGround
1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,BackGround
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,BackGround
3,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,Fundamental
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Fundamental
2,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,BackGround
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,Fundamental
2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,BackGround
2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,BackGround
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Fundamental
1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,2,Compare
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,Fundamental
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Fundamental
3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,Compare
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Fundamental
4,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,Fundamental
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,BackGround
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,BackGround
1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,Fundamental
1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,BackGround
2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,Fundamental
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Fundamental
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,BackGround
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,Fundamental
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,BackGround
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,BackGround
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,Fundamental
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fundamental
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Fundamental
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Fundamental
2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Fundamental
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,BackGround
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,BackGround
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Fundamental
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fundamental
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,BackGround
2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,BackGround
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,Fundamental
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,Fundamental
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NULL
4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,BackGround
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Compare
1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,BackGround
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Fundamental
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fundamental
1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,BackGround
4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,BackGround
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Compare
2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,BackGround
4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,Fundamental
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,BackGround
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Fundamental
2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,BackGround
2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,BackGround
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fundamental
2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Fundamental
1,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,3,BackGround
1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,BackGround
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fundamental
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,Fundamental
0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,BackGround
0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,BackGround
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,BackGround
0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,BackGround
3,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,2,BackGround
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,BackGround
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fundamental
