T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,S0,S1,S2,S3,S4,S5,S6,similarity,Class
3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,BackGround
1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.25,BackGround
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,BackGround
2,3,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0.0,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,BackGround
5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,BackGround
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0.0,BackGround
0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.27,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.18,BackGround
3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.18,Fundamental
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.18,Fundamental
1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0.0,Fundamental
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,BackGround
2,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0.0,BackGround
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.1,BackGround
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,BackGround
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.24,BackGround
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.24,Compare
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.24,Fundamental
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.24,Compare
1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.24,BackGround
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.24,Fundamental
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.24,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,Fundamental
2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.24,Compare
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.24,Compare
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.12,BackGround
0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0.12,BackGround
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.12,BackGround
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.12,Fundamental
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.12,BackGround
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.12,BackGround
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.24,Fundamental
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.24,Fundamental
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.24,Compare
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.08,Fundamental
2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,BackGround
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4,BackGround
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4,BackGround
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.43,Fundamental
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,BackGround
2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,BackGround
